"Date","Time","Longitude","Latitude"
"27/03/2020","12:08:53.00",-38.0653173,-54.0092388
"27/03/2020","12:08:54.00",-38.0653173,-54.0092388
"27/03/2020","12:08:55.00",-38.0653173,-54.0092388
"27/03/2020","12:08:56.00",-38.0653173,-54.0092388
"27/03/2020","12:08:57.00",-38.0653173,-54.0092388
"27/03/2020","12:08:58.00",-38.0653173,-54.0092388
"27/03/2020","12:08:59.00",-38.0653173,-54.0092388
"27/03/2020","12:09:00.00",-38.0653173,-54.0092388
"27/03/2020","12:09:01.00",-38.0653173,-54.0092388
"27/03/2020","12:09:02.00",-38.0653173,-54.0092388
"27/03/2020","12:09:03.00",-38.0653173,-54.0092387
"27/03/2020","12:09:04.00",-38.0653173,-54.0092387
"27/03/2020","12:09:05.00",-38.0653173,-54.0092387
"27/03/2020","12:09:06.00",-38.0653173,-54.0092387
"27/03/2020","12:09:07.00",-38.0653173,-54.0092387
"27/03/2020","12:09:08.00",-38.0653173,-54.0092387
"27/03/2020","12:09:09.00",-38.0653173,-54.0092387
"27/03/2020","12:09:10.00",-38.0653173,-54.0092387
"27/03/2020","12:09:11.00",-38.0653173,-54.0092387
"27/03/2020","12:09:12.00",-38.0653173,-54.0092387
"27/03/2020","12:09:13.00",-38.0653173,-54.0092387
"27/03/2020","12:09:14.00",-38.0653173,-54.0092387
"27/03/2020","12:09:15.00",-38.0653173,-54.0092387
"27/03/2020","12:09:16.00",-38.0653173,-54.0092387
"27/03/2020","12:09:17.00",-38.0653173,-54.0092387
"27/03/2020","12:09:18.00",-38.0653173,-54.0092387
"27/03/2020","12:09:19.00",-38.0653173,-54.0092387
"27/03/2020","12:09:20.00",-38.0653173,-54.0092387
"27/03/2020","12:09:21.00",-38.0653173,-54.0092387
"27/03/2020","12:09:22.00",-38.0653173,-54.0092387
"27/03/2020","12:09:23.00",-38.0653173,-54.0092387
"27/03/2020","12:09:24.00",-38.0653173,-54.0092387
"27/03/2020","12:09:25.00",-38.0653173,-54.0092387
"27/03/2020","12:09:26.00",-38.0653173,-54.0092387
"27/03/2020","12:09:27.00",-38.0653173,-54.0092387
"27/03/2020","12:09:28.00",-38.0653173,-54.0092387
"27/03/2020","12:09:29.00",-38.0653173,-54.0092387
"27/03/2020","12:09:30.00",-38.0653173,-54.0092387
"27/03/2020","12:09:31.00",-38.0653173,-54.0092387
"27/03/2020","12:09:32.00",-38.0653173,-54.0092387
"27/03/2020","12:09:33.00",-38.0653173,-54.0092387
"27/03/2020","12:09:34.00",-38.0653173,-54.0092387
"27/03/2020","12:09:35.00",-38.0653173,-54.0092387
"27/03/2020","12:09:36.00",-38.0653173,-54.0092387
"27/03/2020","12:09:37.00",-38.0653174,-54.0092387
"27/03/2020","12:09:38.00",-38.0653174,-54.0092387
"27/03/2020","12:09:39.00",-38.0653174,-54.0092387
"27/03/2020","12:09:40.00",-38.0653174,-54.0092387
"27/03/2020","12:09:41.00",-38.0653174,-54.0092387
"27/03/2020","12:09:42.00",-38.0653174,-54.0092387
"27/03/2020","12:09:43.00",-38.0653174,-54.0092387
"27/03/2020","12:09:44.00",-38.0653174,-54.0092387
"27/03/2020","12:09:45.00",-38.0653174,-54.0092387
"27/03/2020","12:09:46.00",-38.0653174,-54.0092387
"27/03/2020","12:09:47.00",-38.0653174,-54.0092387
"27/03/2020","12:09:48.00",-38.0653174,-54.0092387
"27/03/2020","12:09:49.00",-38.0653174,-54.0092387
"27/03/2020","12:09:50.00",-38.0653174,-54.0092387
"27/03/2020","12:09:51.00",-38.0653174,-54.0092387
"27/03/2020","12:09:52.00",-38.0653174,-54.0092387
